attempt,vertices,edges,connectivity,representation,generation_time_ms,dijkstra_time_ms,distance_to_target,path_length
1,1000,100000,STRONGLY_CONNECTED,Forward Star,87,23,10,7
2,1000,100000,STRONGLY_CONNECTED,Forward Star,40,12,10,5
3,1000,100000,STRONGLY_CONNECTED,Forward Star,34,6,11,4
4,1000,100000,STRONGLY_CONNECTED,Forward Star,35,4,9,4
5,1000,100000,STRONGLY_CONNECTED,Forward Star,34,4,6,3
6,1000,100000,STRONGLY_CONNECTED,Forward Star,36,4,7,4
7,1000,100000,STRONGLY_CONNECTED,Forward Star,33,4,10,6
8,1000,100000,STRONGLY_CONNECTED,Forward Star,33,9,13,7
9,1000,100000,STRONGLY_CONNECTED,Forward Star,34,4,9,6
10,1000,100000,STRONGLY_CONNECTED,Forward Star,32,4,15,4
1,1000,100000,CONNECTED,Forward Star,33,4,12,4
2,1000,100000,CONNECTED,Forward Star,39,4,11,4
3,1000,100000,CONNECTED,Forward Star,36,3,10,6
4,1000,100000,CONNECTED,Forward Star,33,3,6,4
5,1000,100000,CONNECTED,Forward Star,36,4,11,7
6,1000,100000,CONNECTED,Forward Star,32,4,12,6
7,1000,100000,CONNECTED,Forward Star,32,3,12,5
8,1000,100000,CONNECTED,Forward Star,32,3,10,5
9,1000,100000,CONNECTED,Forward Star,31,4,10,6
10,1000,100000,CONNECTED,Forward Star,50,4,11,6
1,10000,1000000,STRONGLY_CONNECTED,Forward Star,596,43,14,8
2,10000,1000000,STRONGLY_CONNECTED,Forward Star,725,38,16,5
3,10000,1000000,STRONGLY_CONNECTED,Forward Star,674,37,14,7
4,10000,1000000,STRONGLY_CONNECTED,Forward Star,511,37,11,7
5,10000,1000000,STRONGLY_CONNECTED,Forward Star,639,40,13,6
6,10000,1000000,STRONGLY_CONNECTED,Forward Star,704,41,15,5
7,10000,1000000,STRONGLY_CONNECTED,Forward Star,702,40,10,8
8,10000,1000000,STRONGLY_CONNECTED,Forward Star,705,39,14,7
9,10000,1000000,STRONGLY_CONNECTED,Forward Star,683,38,16,8
10,10000,1000000,STRONGLY_CONNECTED,Forward Star,684,72,13,7
1,10000,1000000,CONNECTED,Forward Star,704,37,14,8
2,10000,1000000,CONNECTED,Forward Star,679,37,15,7
3,10000,1000000,CONNECTED,Forward Star,569,38,15,12
4,10000,1000000,CONNECTED,Forward Star,677,37,12,10
5,10000,1000000,CONNECTED,Forward Star,676,78,11,6
6,10000,1000000,CONNECTED,Forward Star,700,42,12,5
7,10000,1000000,CONNECTED,Forward Star,698,43,20,10
8,10000,1000000,CONNECTED,Forward Star,705,41,8,4
9,10000,1000000,CONNECTED,Forward Star,704,41,10,5
10,10000,1000000,CONNECTED,Forward Star,693,41,12,7
1,100000,10000000,STRONGLY_CONNECTED,Forward Star,7316,440,18,8
2,100000,10000000,STRONGLY_CONNECTED,Forward Star,6945,552,20,6
3,100000,10000000,STRONGLY_CONNECTED,Forward Star,8386,427,16,8
4,100000,10000000,STRONGLY_CONNECTED,Forward Star,6794,603,18,6
5,100000,10000000,STRONGLY_CONNECTED,Forward Star,7045,434,12,7
6,100000,10000000,STRONGLY_CONNECTED,Forward Star,7840,420,16,10
7,100000,10000000,STRONGLY_CONNECTED,Forward Star,6905,477,22,8
8,100000,10000000,STRONGLY_CONNECTED,Forward Star,7217,429,16,7
9,100000,10000000,STRONGLY_CONNECTED,Forward Star,7123,510,18,8
10,100000,10000000,STRONGLY_CONNECTED,Forward Star,8608,425,19,8
1,100000,10000000,CONNECTED,Forward Star,8583,418,16,8
2,100000,10000000,CONNECTED,Forward Star,6917,433,17,7
3,100000,10000000,CONNECTED,Forward Star,7883,436,18,12
4,100000,10000000,CONNECTED,Forward Star,6312,430,20,8
5,100000,10000000,CONNECTED,Forward Star,7735,460,16,7
6,100000,10000000,CONNECTED,Forward Star,6523,432,18,7
7,100000,10000000,CONNECTED,Forward Star,7929,433,15,7
8,100000,10000000,CONNECTED,Forward Star,7059,431,18,10
9,100000,10000000,CONNECTED,Forward Star,6774,420,16,12
10,100000,10000000,CONNECTED,Forward Star,8598,627,18,5
1,1000000,100000000,STRONGLY_CONNECTED,Forward Star,77899,6252,18,7
2,1000000,100000000,STRONGLY_CONNECTED,Forward Star,79295,5030,20,13
3,1000000,100000000,STRONGLY_CONNECTED,Forward Star,84574,6054,12,9
4,1000000,100000000,STRONGLY_CONNECTED,Forward Star,86322,6409,21,10
5,1000000,100000000,STRONGLY_CONNECTED,Forward Star,83806,6773,23,11
6,1000000,100000000,STRONGLY_CONNECTED,Forward Star,82610,5911,23,8
7,1000000,100000000,STRONGLY_CONNECTED,Forward Star,86333,5563,21,9
8,1000000,100000000,STRONGLY_CONNECTED,Forward Star,83116,5783,20,9
9,1000000,100000000,STRONGLY_CONNECTED,Forward Star,86927,7181,21,12
10,1000000,100000000,STRONGLY_CONNECTED,Forward Star,82843,5564,16,9
1,1000000,100000000,CONNECTED,Forward Star,87369,5554,21,11
2,1000000,100000000,CONNECTED,Forward Star,80234,5688,24,6
3,1000000,100000000,CONNECTED,Forward Star,83692,5481,18,10
4,1000000,100000000,CONNECTED,Forward Star,80034,6069,19,9
5,1000000,100000000,CONNECTED,Forward Star,81213,5609,21,11
6,1000000,100000000,CONNECTED,Forward Star,80634,5782,17,9
7,1000000,100000000,CONNECTED,Forward Star,84222,5493,20,8
8,1000000,100000000,CONNECTED,Forward Star,79333,5520,23,9
9,1000000,100000000,CONNECTED,Forward Star,81570,5683,23,7
10,1000000,100000000,CONNECTED,Forward Star,85109,5617,20,10
