attempt,vertices,edges,connectivity,representation,generation_time_ms,disjoint_paths_time_ms,paths,target
1,1000,100000,STRONGLY_CONNECTED,Forward Star,89,161,90,1000
2,1000,100000,STRONGLY_CONNECTED,Forward Star,47,69,95,1000
3,1000,100000,STRONGLY_CONNECTED,Forward Star,44,52,99,1000
4,1000,100000,STRONGLY_CONNECTED,Forward Star,39,53,93,1000
5,1000,100000,STRONGLY_CONNECTED,Forward Star,37,55,91,1000
6,1000,100000,STRONGLY_CONNECTED,Forward Star,33,53,88,1000
7,1000,100000,STRONGLY_CONNECTED,Forward Star,36,42,98,1000
8,1000,100000,STRONGLY_CONNECTED,Forward Star,36,42,101,1000
9,1000,100000,STRONGLY_CONNECTED,Forward Star,32,49,82,1000
10,1000,100000,STRONGLY_CONNECTED,Forward Star,37,47,92,1000
1,1000,100000,EULERIAN,Forward Star,58,46,95,1000
2,1000,100000,EULERIAN,Forward Star,51,44,95,1000
3,1000,100000,EULERIAN,Forward Star,46,49,88,1000
4,1000,100000,EULERIAN,Forward Star,47,46,98,1000
5,1000,100000,EULERIAN,Forward Star,46,48,92,1000
6,1000,100000,EULERIAN,Forward Star,62,45,90,1000
7,1000,100000,EULERIAN,Forward Star,43,43,92,1000
8,1000,100000,EULERIAN,Forward Star,44,43,97,1000
9,1000,100000,EULERIAN,Forward Star,41,47,97,1000
10,1000,100000,EULERIAN,Forward Star,42,43,92,1000
1,20000,2000000,STRONGLY_CONNECTED,Forward Star,1307,1880,96,20000
2,20000,2000000,STRONGLY_CONNECTED,Forward Star,1396,2249,90,20000
3,20000,2000000,STRONGLY_CONNECTED,Forward Star,1560,2495,93,20000
4,20000,2000000,STRONGLY_CONNECTED,Forward Star,1399,2274,91,20000
5,20000,2000000,STRONGLY_CONNECTED,Forward Star,1550,2603,98,20000
6,20000,2000000,STRONGLY_CONNECTED,Forward Star,1502,2259,100,20000
7,20000,2000000,STRONGLY_CONNECTED,Forward Star,1519,2279,93,20000
8,20000,2000000,STRONGLY_CONNECTED,Forward Star,1599,2195,102,20000
9,20000,2000000,STRONGLY_CONNECTED,Forward Star,1528,2110,93,20000
10,20000,2000000,STRONGLY_CONNECTED,Forward Star,1529,2166,82,20000
1,20000,2000000,EULERIAN,Forward Star,1446,2497,92,20000
2,20000,2000000,EULERIAN,Forward Star,1430,2496,99,20000
3,20000,2000000,EULERIAN,Forward Star,1435,2298,97,20000
4,20000,2000000,EULERIAN,Forward Star,1239,2257,94,20000
5,20000,2000000,EULERIAN,Forward Star,1433,2263,91,20000
6,20000,2000000,EULERIAN,Forward Star,1429,2104,99,20000
7,20000,2000000,EULERIAN,Forward Star,1435,2647,95,20000
8,20000,2000000,EULERIAN,Forward Star,1402,2140,100,20000
9,20000,2000000,EULERIAN,Forward Star,1426,2180,95,20000
10,20000,2000000,EULERIAN,Forward Star,1407,2461,88,20000
1,500000,50000000,STRONGLY_CONNECTED,Forward Star,35647,69996,90,500000
2,500000,50000000,STRONGLY_CONNECTED,Forward Star,39169,72131,98,500000
3,500000,50000000,STRONGLY_CONNECTED,Forward Star,40111,66840,99,500000
4,500000,50000000,STRONGLY_CONNECTED,Forward Star,38332,70139,101,500000
5,500000,50000000,STRONGLY_CONNECTED,Forward Star,38723,72897,93,500000
6,500000,50000000,STRONGLY_CONNECTED,Forward Star,37991,72504,104,500000
7,500000,50000000,STRONGLY_CONNECTED,Forward Star,38545,68359,88,500000
8,500000,50000000,STRONGLY_CONNECTED,Forward Star,37773,73197,100,500000
9,500000,50000000,STRONGLY_CONNECTED,Forward Star,38638,72702,97,500000
10,500000,50000000,STRONGLY_CONNECTED,Forward Star,39712,66738,87,500000
1,500000,50000000,EULERIAN,Forward Star,34328,71589,100,500000
