attempt,vertices,edges,connectivity,representation,generation_time_ms,fleury_time_ms,path_length,eulerian_type,algorithm
9,100,250,EULERIAN,Adjacency List,8,154,251,EULERIAN,Tarjan
9,100,252,SEMI_EULERIAN,Adjacency List,4,156,253,SEMI_EULERIAN,Tarjan
2,100,250,EULERIAN,Adjacency List,11,160,251,EULERIAN,Tarjan
5,100,250,EULERIAN,Adjacency List,11,156,251,EULERIAN,Tarjan
1,100,250,EULERIAN,Adjacency List,10,159,251,EULERIAN,Tarjan
7,100,250,EULERIAN,Adjacency List,9,159,251,EULERIAN,Tarjan
10,100,250,EULERIAN,Adjacency List,9,159,251,EULERIAN,Tarjan
3,100,250,EULERIAN,Adjacency List,11,160,251,EULERIAN,Tarjan
4,100,250,EULERIAN,Adjacency List,11,163,251,EULERIAN,Tarjan
2,100,252,SEMI_EULERIAN,Adjacency List,7,163,253,SEMI_EULERIAN,Tarjan
1,100,250,CONNECTED,Adjacency List,3,164,0,NON_EULERIAN,Tarjan
4,100,250,CONNECTED,Adjacency List,0,164,0,NON_EULERIAN,Tarjan
7,100,252,SEMI_EULERIAN,Adjacency List,5,182,253,SEMI_EULERIAN,Tarjan
4,100,252,SEMI_EULERIAN,Adjacency List,6,188,253,SEMI_EULERIAN,Tarjan
10,100,252,SEMI_EULERIAN,Adjacency List,3,194,253,SEMI_EULERIAN,Tarjan
3,100,250,CONNECTED,Adjacency List,2,193,0,NON_EULERIAN,Tarjan
2,100,250,CONNECTED,Adjacency List,1,196,0,NON_EULERIAN,Tarjan
6,100,250,CONNECTED,Adjacency List,1,46,0,NON_EULERIAN,Tarjan
1,100,252,SEMI_EULERIAN,Adjacency List,7,205,253,SEMI_EULERIAN,Tarjan
6,100,250,EULERIAN,Adjacency List,11,201,251,EULERIAN,Tarjan
6,100,252,SEMI_EULERIAN,Adjacency List,5,201,253,SEMI_EULERIAN,Tarjan
3,100,252,SEMI_EULERIAN,Adjacency List,6,225,253,SEMI_EULERIAN,Tarjan
8,100,250,EULERIAN,Adjacency List,9,231,251,EULERIAN,Tarjan
