instance,n,k,algorithm,attempt,floyd_ms,algo_ms,radius,optimal_radius,gap_pct
pmed1,100,5,Gonzalez,1,55,0,186,127,46.46
pmed4,100,20,Gonzalez,1,56,0,112,74,51.35
pmed2,100,10,Gonzalez,1,56,0,131,98,33.67
pmed5,100,33,Gonzalez,1,56,0,72,48,50.00
pmed2,100,10,Gonzalez,2,56,0,131,98,33.67
pmed4,100,20,Gonzalez,2,56,0,112,74,51.35
pmed1,100,5,Gonzalez,2,55,0,186,127,46.46
pmed5,100,33,Gonzalez,2,56,0,72,48,50.00
pmed2,100,10,Gonzalez,3,56,0,131,98,33.67
pmed4,100,20,Gonzalez,3,56,0,112,74,51.35
pmed1,100,5,Gonzalez,3,55,0,186,127,46.46
pmed8,200,20,Gonzalez,1,65,0,81,55,47.27
pmed5,100,33,Gonzalez,3,56,0,72,48,50.00
pmed10,200,67,Gonzalez,1,65,0,30,20,50.00
pmed2,100,10,Gonzalez,4,56,0,131,98,33.67
pmed8,200,20,Gonzalez,2,65,0,81,55,47.27
pmed4,100,20,Gonzalez,4,56,0,112,74,51.35
pmed7,200,10,Gonzalez,1,70,0,98,64,53.13
pmed10,200,67,Gonzalez,2,65,0,30,20,50.00
pmed1,100,5,Gonzalez,4,55,0,186,127,46.46
pmed5,100,33,Gonzalez,4,56,0,72,48,50.00
pmed1,100,5,Gonzalez,5,55,0,186,127,46.46
pmed5,100,33,Gonzalez,5,56,0,72,48,50.00
pmed1,100,5,FastMap,1,55,0,176,127,38.58
pmed5,100,33,FastMap,1,56,0,81,48,68.75
pmed5,100,33,FastMap,2,56,0,86,48,79.17
pmed8,200,20,Gonzalez,3,65,0,81,55,47.27
pmed2,100,10,Gonzalez,5,56,0,131,98,33.67
pmed8,200,20,Gonzalez,4,65,0,81,55,47.27
pmed4,100,20,Gonzalez,5,56,0,112,74,51.35
pmed7,200,10,Gonzalez,2,70,0,98,64,53.13
pmed10,200,67,Gonzalez,3,65,0,30,20,50.00
pmed7,200,10,Gonzalez,3,70,0,98,64,53.13
pmed10,200,67,Gonzalez,4,65,0,30,20,50.00
pmed1,100,5,FastMap,2,55,0,193,127,51.97
pmed10,200,67,Gonzalez,5,65,0,30,20,50.00
pmed1,100,5,FastMap,3,55,0,163,127,28.35
pmed1,100,5,FastMap,4,55,0,160,127,25.98
pmed1,100,5,FastMap,5,55,0,186,127,46.46
pmed10,200,67,FastMap,1,65,1,58,20,190.00
pmed5,100,33,FastMap,3,56,0,116,48,141.67
pmed5,100,33,FastMap,4,56,0,94,48,95.83
pmed5,100,33,FastMap,5,56,0,95,48,97.92
pmed2,100,10,FastMap,1,56,0,151,98,54.08
pmed8,200,20,Gonzalez,5,65,0,81,55,47.27
pmed4,100,20,FastMap,1,56,0,117,74,58.11
pmed7,200,10,Gonzalez,4,70,0,98,64,53.13
pmed2,100,10,FastMap,2,56,0,162,98,65.31
pmed8,200,20,FastMap,1,65,0,104,55,89.09
pmed8,200,20,FastMap,2,65,0,97,55,76.36
pmed4,100,20,FastMap,2,56,0,161,74,117.57
pmed4,100,20,FastMap,3,56,0,147,74,98.65
pmed4,100,20,FastMap,4,56,0,117,74,58.11
pmed4,100,20,FastMap,5,56,0,154,74,108.11
pmed7,200,10,Gonzalez,5,70,0,98,64,53.13
pmed7,200,10,FastMap,1,70,0,90,64,40.63
pmed2,100,10,FastMap,3,56,0,144,98,46.94
pmed2,100,10,FastMap,4,56,0,157,98,60.20
pmed9,200,40,Gonzalez,1,82,0,61,37,64.86
pmed2,100,10,FastMap,5,56,0,150,98,53.06
pmed8,200,20,FastMap,3,65,0,101,55,83.64
pmed10,200,67,FastMap,2,65,7,58,20,190.00
pmed7,200,10,FastMap,2,70,0,105,64,64.06
pmed10,200,67,FastMap,3,65,0,57,20,185.00
pmed10,200,67,FastMap,4,65,0,69,20,245.00
pmed9,200,40,Gonzalez,2,82,0,61,37,64.86
pmed7,200,10,FastMap,3,70,0,95,64,48.44
pmed7,200,10,FastMap,4,70,0,90,64,40.63
pmed9,200,40,Gonzalez,3,82,0,61,37,64.86
pmed8,200,20,FastMap,4,65,0,107,55,94.55
pmed10,200,67,FastMap,5,65,0,54,20,170.00
pmed7,200,10,FastMap,5,70,0,93,64,45.31
pmed9,200,40,Gonzalez,4,82,0,61,37,64.86
pmed8,200,20,FastMap,5,65,0,100,55,81.82
pmed9,200,40,Gonzalez,5,82,0,61,37,64.86
pmed9,200,40,FastMap,1,82,0,74,37,100.00
pmed9,200,40,FastMap,2,82,0,90,37,143.24
pmed9,200,40,FastMap,3,82,0,70,37,89.19
pmed9,200,40,FastMap,4,82,0,72,37,94.59
pmed9,200,40,FastMap,5,82,0,82,37,121.62
pmed3,100,10,Gonzalez,1,105,0,154,93,65.59
pmed3,100,10,Gonzalez,2,105,0,154,93,65.59
pmed3,100,10,Gonzalez,3,105,0,154,93,65.59
pmed3,100,10,Gonzalez,4,105,0,154,93,65.59
pmed3,100,10,Gonzalez,5,105,0,154,93,65.59
pmed3,100,10,FastMap,1,105,0,169,93,81.72
pmed3,100,10,FastMap,2,105,0,155,93,66.67
pmed3,100,10,FastMap,3,105,0,145,93,55.91
pmed3,100,10,FastMap,4,105,0,129,93,38.71
pmed3,100,10,FastMap,5,105,0,131,93,40.86
pmed6,200,5,Gonzalez,1,174,0,138,84,64.29
pmed6,200,5,Gonzalez,2,174,0,138,84,64.29
pmed6,200,5,Gonzalez,3,174,0,138,84,64.29
pmed6,200,5,Gonzalez,4,174,0,138,84,64.29
pmed6,200,5,Gonzalez,5,174,0,138,84,64.29
pmed6,200,5,FastMap,1,174,0,110,84,30.95
pmed6,200,5,FastMap,2,174,0,123,84,46.43
pmed6,200,5,FastMap,3,174,0,118,84,40.48
pmed6,200,5,FastMap,4,174,0,114,84,35.71
pmed6,200,5,FastMap,5,174,0,110,84,30.95
pmed11,300,5,Gonzalez,1,248,0,74,59,25.42
pmed11,300,5,Gonzalez,2,248,0,74,59,25.42
pmed11,300,5,Gonzalez,3,248,0,74,59,25.42
pmed11,300,5,Gonzalez,4,248,0,74,59,25.42
pmed11,300,5,Gonzalez,5,248,0,74,59,25.42
pmed11,300,5,FastMap,1,248,0,67,59,13.56
pmed11,300,5,FastMap,2,248,0,95,59,61.02
pmed11,300,5,FastMap,3,248,0,96,59,62.71
pmed11,300,5,FastMap,4,248,0,82,59,38.98
pmed11,300,5,FastMap,5,248,0,82,59,38.98
pmed15,300,100,Gonzalez,1,261,0,25,18,38.89
pmed15,300,100,Gonzalez,2,261,0,25,18,38.89
pmed15,300,100,Gonzalez,3,261,0,25,18,38.89
pmed15,300,100,Gonzalez,4,261,0,25,18,38.89
pmed15,300,100,Gonzalez,5,261,0,25,18,38.89
pmed15,300,100,FastMap,1,261,0,57,18,216.67
pmed15,300,100,FastMap,2,261,0,53,18,194.44
pmed15,300,100,FastMap,3,261,0,63,18,250.00
pmed15,300,100,FastMap,4,261,0,54,18,200.00
pmed15,300,100,FastMap,5,261,1,37,18,105.56
pmed14,300,60,Gonzalez,1,280,0,40,26,53.85
pmed14,300,60,Gonzalez,2,280,0,40,26,53.85
pmed14,300,60,Gonzalez,3,280,0,40,26,53.85
pmed14,300,60,Gonzalez,4,280,0,40,26,53.85
pmed14,300,60,Gonzalez,5,280,0,40,26,53.85
pmed14,300,60,FastMap,1,280,0,59,26,126.92
pmed14,300,60,FastMap,2,280,0,60,26,130.77
pmed14,300,60,FastMap,3,280,0,58,26,123.08
pmed12,300,10,Gonzalez,1,286,0,71,51,39.22
pmed13,300,30,Gonzalez,1,288,0,60,35,71.43
pmed12,300,10,Gonzalez,2,286,0,71,51,39.22
pmed13,300,30,Gonzalez,2,288,0,60,35,71.43
pmed12,300,10,Gonzalez,3,286,0,71,51,39.22
pmed14,300,60,FastMap,4,280,0,70,26,169.23
pmed13,300,30,Gonzalez,3,288,0,60,35,71.43
pmed12,300,10,Gonzalez,4,286,0,71,51,39.22
pmed14,300,60,FastMap,5,280,0,60,26,130.77
pmed13,300,30,Gonzalez,4,288,0,60,35,71.43
pmed12,300,10,Gonzalez,5,286,0,71,51,39.22
pmed13,300,30,Gonzalez,5,288,0,60,35,71.43
pmed12,300,10,FastMap,1,286,0,99,51,94.12
pmed13,300,30,FastMap,1,288,0,66,35,88.57
pmed12,300,10,FastMap,2,286,0,73,51,43.14
pmed13,300,30,FastMap,2,288,0,69,35,97.14
pmed12,300,10,FastMap,3,286,0,85,51,66.67
pmed13,300,30,FastMap,3,288,0,66,35,88.57
pmed12,300,10,FastMap,4,286,0,99,51,94.12
pmed13,300,30,FastMap,4,288,0,70,35,100.00
pmed12,300,10,FastMap,5,286,0,79,51,54.90
pmed13,300,30,FastMap,5,288,3,65,35,85.71
pmed16,400,5,Gonzalez,1,342,0,84,47,78.72
pmed16,400,5,Gonzalez,2,342,0,84,47,78.72
pmed16,400,5,Gonzalez,3,342,0,84,47,78.72
pmed16,400,5,Gonzalez,4,342,0,84,47,78.72
pmed16,400,5,Gonzalez,5,342,0,84,47,78.72
pmed16,400,5,FastMap,1,342,0,69,47,46.81
pmed16,400,5,FastMap,2,342,0,59,47,25.53
pmed16,400,5,FastMap,3,342,0,61,47,29.79
pmed16,400,5,FastMap,4,342,0,65,47,38.30
pmed16,400,5,FastMap,5,342,0,70,47,48.94
pmed19,400,80,Gonzalez,1,353,0,29,18,61.11
pmed20,400,133,Gonzalez,1,354,0,19,13,46.15
pmed20,400,133,Gonzalez,2,354,0,19,13,46.15
pmed20,400,133,Gonzalez,3,354,0,19,13,46.15
pmed19,400,80,Gonzalez,2,353,1,29,18,61.11
pmed20,400,133,Gonzalez,4,354,0,19,13,46.15
pmed19,400,80,Gonzalez,3,353,0,29,18,61.11
pmed20,400,133,Gonzalez,5,354,0,19,13,46.15
pmed19,400,80,Gonzalez,4,353,0,29,18,61.11
pmed19,400,80,Gonzalez,5,353,0,29,18,61.11
pmed20,400,133,FastMap,1,354,0,36,13,176.92
pmed19,400,80,FastMap,1,353,0,44,18,144.44
pmed20,400,133,FastMap,2,354,0,33,13,153.85
pmed19,400,80,FastMap,2,353,0,42,18,133.33
pmed20,400,133,FastMap,3,354,0,38,13,192.31
pmed1,100,5,WVA-IG,1,55,281,127,127,0.00
pmed19,400,80,FastMap,3,353,0,48,18,166.67
pmed20,400,133,FastMap,4,354,0,38,13,192.31
pmed20,400,133,FastMap,5,354,0,49,13,276.92
pmed19,400,80,FastMap,4,353,0,40,18,122.22
pmed19,400,80,FastMap,5,353,0,41,18,127.78
pmed18,400,40,Gonzalez,1,368,0,45,28,60.71
pmed18,400,40,Gonzalez,2,368,0,45,28,60.71
pmed18,400,40,Gonzalez,3,368,0,45,28,60.71
pmed18,400,40,Gonzalez,4,368,0,45,28,60.71
pmed18,400,40,Gonzalez,5,368,0,45,28,60.71
pmed18,400,40,FastMap,1,368,0,55,28,96.43
pmed18,400,40,FastMap,2,368,0,51,28,82.14
pmed18,400,40,FastMap,3,368,0,59,28,110.71
pmed18,400,40,FastMap,4,368,0,55,28,96.43
